Smash Character,Unlocked Characters,Locked Characters,Taken Characters,Team Owner,Team
Bayonetta,Bowser,Bayonetta,,,
Bowser,Captain Falcon,Bowser Jr.,,,
Bowser Jr.,Corrin,Charizard,,,
Captain Falcon,Daisy,Chrom,,,
Charizard,Diddy Kong,Cloud,,,
Chrom,Donkey Kong,Dark Pit,,,
Cloud,Falco,Dark Samus,,,
Corrin,Fox,Dr. Mario,,,
Daisy,Ike,Duck Hunt,,,
Dark Pit,Inkling,Ganondorf,,,
Dark Samus,Jigglypuff,Greninja,,,
Diddy Kong,King Dedede,Ice Climbers,,,
Donkey Kong,Kirby,Incineroar,,,
Dr. Mario,Link,Isabelle,,,
Duck Hunt,Lucina,Ivysaur,,,
Falco,Luigi,Ken,,,
Fox,Mario,King K. Rool,,,
Ganondorf,Marth,Little Mac,,,
Greninja,Mega Man,Lucario,,,
Ice Climbers,Meta Knight,Lucas,,,
Ike,Ness,Mewtwo,,,
Incineroar,Peach,Mr. Game & Watch,,,
Inkling,Pichu,Olimar,,,
Isabelle,Pikachu,Pac-Man,,,
Ivysaur,Pokemon Trainer,Palutena,,,
Jigglypuff,Richter,Pit,,,
Ken,Ridley,Robin,,,
King Dedede,R.O.B.,Rosalina & Luma,,,
King K. Rool,Ryu,Roy,,,
Kirby,Samus,Sheik,,,
Link,Shulk,Snake,,,
Little Mac,Simon,Squirtle,,,
Lucario,Sonic,Toon Link,,,
Lucas,Villager,Wii Fit Trainer,,,
Lucina,Wario,Wolf,,,
Luigi,Yoshi,,,,
Mario,Young Link,,,,
Marth,Zelda,,,,
Mega Man,Zero Suit Samus,,,,
Meta Knight,,,,,
Mewtwo,,,,,
Mr. Game & Watch,,,,,
Ness,,,,,
Olimar,,,,,
Pac-Man,,,,,
Palutena,,,,,
Peach,,,,,
Pichu,,,,,
Pikachu,,,,,
Pit,,,,,
R.O.B.,,,,,
Richter,,,,,
Ridley,,,,,
Robin,,,,,
Rosalina & Luma,,,,,
Roy,,,,,
Ryu,,,,,
Samus,,,,,
Sheik,,,,,
Shulk,,,,,
Simon,,,,,
Snake,,,,,
Sonic,,,,,
Squirtle,,,,,
Toon Link,,,,,
Villager,,,,,
Wario,,,,,
Wii Fit Trainer,,,,,
Wolf,,,,,
Yoshi,,,,,
Young Link,,,,,
Zelda,,,,,
Zero Suit Samus,,,,,
